id	country_name	country_code	created_at	updated_at
85	Gibraltar	gib	2020-04-17 17:52:56	2020-04-17 17:52:56
86	Greece	grc	2020-04-17 17:52:56	2020-04-17 17:52:56
87	Greenland	grl	2020-04-17 17:52:56	2020-04-17 17:52:56
88	Grenada	grd	2020-04-17 17:52:56	2020-04-17 17:52:56
89	Guadeloupe	glp	2020-04-17 17:52:56	2020-04-17 17:52:56
90	Guam	gum	2020-04-17 17:52:56	2020-04-17 17:52:56
91	Guatemala	gtm	2020-04-17 17:52:56	2020-04-17 17:52:56
92	Guernsey	ggy	2020-04-17 17:52:56	2020-04-17 17:52:56
93	Guinea	gin	2020-04-17 17:52:56	2020-04-17 17:52:56
94	Guinea-bissau	gnb	2020-04-17 17:52:56	2020-04-17 17:52:56
95	Guyana	guy	2020-04-17 17:52:56	2020-04-17 17:52:56
96	Haiti	hti	2020-04-17 17:52:56	2020-04-17 17:52:56
97	Heard and McDonald Islands	hmd	2020-04-17 17:52:56	2020-04-17 17:52:56
98	Holy See 	vat	2020-04-17 17:52:56	2020-04-17 17:52:56
99	Honduras	hnd	2020-04-17 17:52:56	2020-04-17 17:52:56
100	Hong Kong	hkg	2020-04-17 17:52:56	2020-04-17 17:52:56
101	Hungary	hun	2020-04-17 17:52:56	2020-04-17 17:52:56
102	Iceland	isl	2020-04-17 17:52:56	2020-04-17 17:52:56
103	India	ind	2020-04-17 17:52:56	2020-04-17 17:52:56
104	Indonesia	idn	2020-04-17 17:52:56	2020-04-17 17:52:56
105	Iran 	irn	2020-04-17 17:52:56	2020-04-17 17:52:56
106	Iraq	irq	2020-04-17 17:52:56	2020-04-17 17:52:56
107	Ireland	irl	2020-04-17 17:52:56	2020-04-17 17:52:56
108	Isle of Man	imn	2020-04-17 17:52:56	2020-04-17 17:52:56
109	Israel	isr	2020-04-17 17:52:56	2020-04-17 17:52:56
110	Italy	ita	2020-04-17 17:52:56	2020-04-17 17:52:56
111	Jamaica	jam	2020-04-17 17:52:56	2020-04-17 17:52:56
112	Japan	jpn	2020-04-17 17:52:56	2020-04-17 17:52:56
113	Jersey	jey	2020-04-17 17:52:56	2020-04-17 17:52:56
114	Jordan	jor	2020-04-17 17:52:56	2020-04-17 17:52:56
115	Kazakhstan	kaz	2020-04-17 17:52:56	2020-04-17 17:52:56
116	Kenya	ken	2020-04-17 17:52:56	2020-04-17 17:52:56
117	Kiribati	kir	2020-04-17 17:52:56	2020-04-17 17:52:56
118	Democratic People's Republic of Korea	prk	2020-04-17 17:52:56	2020-04-17 17:52:56
119	Republic of Korea	kor	2020-04-17 17:52:56	2020-04-17 17:52:56
120	Kuwait	kwt	2020-04-17 17:52:56	2020-04-17 17:52:56
121	Kyrgyzstan	kgz	2020-04-17 17:52:56	2020-04-17 17:52:56
122	Lao People's Democratic Republic	lao	2020-04-17 17:52:56	2020-04-17 17:52:56
123	Latvia	lva	2020-04-17 17:52:56	2020-04-17 17:52:56
124	Lebanon	lbn	2020-04-17 17:52:56	2020-04-17 17:52:56
125	Lesotho	lso	2020-04-17 17:52:56	2020-04-17 17:52:56
126	Liberia	lbr	2020-04-17 17:52:56	2020-04-17 17:52:56
127	Libya	lby	2020-04-17 17:52:56	2020-04-17 17:52:56
128	Liechtenstein	lie	2020-04-17 17:52:56	2020-04-17 17:52:56
129	Lithuania	ltu	2020-04-17 17:52:56	2020-04-17 17:52:56
